Time (hours),Date/Time,Temperature (ºC)_incubator,Humidity (%RH)_incubator,Pressure (hPA)_incubator,Light (lux)_incubator,Temperature (ºC)_hypomagnetic,Humidity (%RH)_hypomagnetic,Pressure (hPA)_hypomagnetic,Light (lux)_hypomagnetic
6.0,2024-06-07 02:00:00+00:00,20.5725,61.2,998.275,0.0,20.3325,62.14,998.975,0.0
5.983333333333333,2024-06-07 01:59:00+00:00,20.57,61.19,998.2675,0.0,20.3375,62.1275,998.965,0.0
5.966666666666667,2024-06-07 01:58:00+00:00,20.57,61.17,998.275,0.0,20.335,62.1325,998.9675,0.0
5.95,2024-06-07 01:57:00+00:00,20.566666666666663,61.18333333333334,998.2433333333332,0.0,20.345,62.145,998.95,0.0
5.933333333333334,2024-06-07 01:56:00+00:00,20.57,61.190000000000005,998.24,0.0,20.3425,62.145,998.975,0.0
5.916666666666667,2024-06-07 01:55:00+00:00,20.5675,61.185,998.2425,0.0,20.34,62.1425,998.925,0.0
5.9,2024-06-07 01:54:00+00:00,20.58,61.16,998.21,0.0,20.3425,62.14,998.925,0.0
5.883333333333334,2024-06-07 01:53:00+00:00,20.555,61.185,998.225,0.0,20.3425,62.1475,998.905,0.0
5.866666666666666,2024-06-07 01:52:00+00:00,20.58,61.185,998.21,0.0,20.33,62.1375,998.9125,0.0
5.85,2024-06-07 01:51:00+00:00,20.57,61.1875,998.245,0.0,20.3525,62.1475,998.935,0.0
5.833333333333333,2024-06-07 01:50:00+00:00,20.555,61.165,998.2,0.0,20.3375,62.1525,998.9275,0.0
5.816666666666666,2024-06-07 01:49:00+00:00,20.58,61.175,998.225,0.0,20.3375,62.1425,998.925,0.0
5.8,2024-06-07 01:48:00+00:00,20.5775,61.1675,998.215,0.0,20.3325,62.13,998.915,0.0
5.783333333333333,2024-06-07 01:47:00+00:00,20.5775,61.17,998.2275,0.0,20.335,62.135000000000005,998.935,0.0
5.766666666666667,2024-06-07 01:46:00+00:00,20.58,61.18333333333334,998.21,0.0,20.335,62.14,998.9025,0.0
5.75,2024-06-07 01:45:00+00:00,20.58,61.175,998.195,0.0,20.335,62.14999999999999,998.895,0.0
5.733333333333333,2024-06-07 01:44:00+00:00,20.57,61.17,998.1825,0.0,20.3425,62.1325,998.89,0.0
5.716666666666667,2024-06-07 01:43:00+00:00,20.57,61.17,998.1875,0.0,20.325,62.145,998.88,0.0
5.7,2024-06-07 01:42:00+00:00,20.575,61.175,998.175,0.0,20.3375,62.1475,998.8725,0.0
5.683333333333334,2024-06-07 01:41:00+00:00,20.5725,61.17,998.1475,0.0,20.3375,62.11999999999999,998.865,0.0
5.666666666666667,2024-06-07 01:40:00+00:00,20.5725,61.1625,998.14,0.0,20.335,62.1575,998.865,0.0
5.65,2024-06-07 01:39:00+00:00,20.575,61.16,998.17,0.0,20.335,62.1275,998.8675,0.0
5.633333333333334,2024-06-07 01:38:00+00:00,20.565,61.1575,998.1675,0.0,20.3375,62.1475,998.875,0.0
5.616666666666666,2024-06-07 01:37:00+00:00,20.575,61.165,998.155,0.0,20.3225,62.14,998.8825,0.0
5.6,2024-06-07 01:36:00+00:00,20.5675,61.14999999999999,998.17,0.0,20.3325,62.1475,998.8875,0.0
5.583333333333333,2024-06-07 01:35:00+00:00,20.5725,61.1575,998.1775,0.0,20.3275,62.145,998.875,0.0
5.566666666666666,2024-06-07 01:34:00+00:00,20.57,61.125,998.1625,0.0,20.3425,62.1525,998.9,0.0
5.55,2024-06-07 01:33:00+00:00,20.57,61.16,998.1933333333332,0.0,20.3375,62.16,998.905,0.0
5.533333333333333,2024-06-07 01:32:00+00:00,20.56,61.17,998.19,0.0,20.33,62.145,998.905,0.0
5.516666666666667,2024-06-07 01:31:00+00:00,20.57333333333333,61.17333333333334,998.1866666666666,0.0,20.335,62.1525,998.9,0.0
5.5,2024-06-07 01:30:00+00:00,20.5625,61.1475,998.195,0.0,20.3425,62.150000000000006,998.8925,0.0
5.483333333333333,2024-06-07 01:29:00+00:00,20.55333333333333,61.16,998.1866666666666,0.0,20.34,62.155,998.9225,0.0
